carbon_source,mean_growth,std_growth,mean_uptake,mean_a
Acetate,0.23029319498690654,0.03835810207619312,11.429480861799371,0.004
Galactose,0.42041813617048057,0.05321549124805329,5.662732621823725,0.004
Glucose,0.650400154434403,0.08376872801889435,9.038509402270112,0.0031
Glycerol,0.33520547157251684,0.05329811343686322,8.162079409128628,0.0053
Lactate,0.36015673293562894,0.055601252090904336,13.158019050691513,0.004
Maltose,0.4730850341444668,0.06403908391186697,3.433728856242704,0.004
